1,1,50.0,100.0,250.0,400.0,person,0.95,1
2,1,52.0,102.0,254.0,404.0,person,0.95,1
3,1,54.0,104.0,258.0,408.0,person,0.95,1
4,1,56.0,106.0,262.0,412.0,person,0.95,1
4,1,100.0,500.0,400.0,1200.0,person,0.95,1
5,1,58.0,108.0,266.0,416.0,person,0.95,1
1,2,150.0,200.0,550.0,550.0,car,0.87,1
2,2,152.0,202.0,554.0,554.0,car,0.87,1
3,2,154.0,204.0,558.0,558.0,car,0.87,1
4,2,156.0,206.0,562.0,562.0,car,0.87,1
5,2,158.0,208.0,566.0,566.0,car,0.87,1
5,2,100.0,300.0,500.0,800.0,car,0.87,1
1,3,300.0,400.0,800.0,1000.0,dog,0.9,1
2,3,302.0,402.0,804.0,1004.0,dog,0.9,1
3,3,304.0,404.0,808.0,1008.0,dog,0.9,1
4,3,306.0,406.0,812.0,1012.0,dog,0.9,1
5,3,308.0,408.0,816.0,1016.0,dog,0.9,1
1,8,56.0,106.0,262.0,412.0,person1,0.95,1
2,8,56.0,106.0,262.0,412.0,person1,0.95,1
3,8,56.0,106.0,262.0,412.0,person1,0.95,1
4,8,56.0,106.0,262.0,412.0,person1,0.95,1
5,8,56.0,106.0,262.0,412.0,person1,0.95,1
1,5,400.0,500.0,1000.0,1200.0,bicycle,0.92,1
3,9,56.0,106.0,262.0,412.0,person1,0.95,1
5,9,56.0,106.0,262.0,412.0,person1,0.95,1
4,13,56.0,106.0,262.0,412.0,person1,0.95,1
